"product_name","pnns_groups_1","energy_100g","fat_100g","carbohydrates_100g","sugars_100g","proteins_100g","salt_100g","nutrition.score.fr_100g","kcal","nutriscore"
"Pepsi, Nouveau goût !","Beverages",177,0,10.4,10.4,0,0.0254,13,42.1428571428571,"D"
"7Up","Beverages",177,0,10.4,10.4,0,0.1,13,42.1428571428571,"D"
"Madeleines nature","Sugary snacks",1900,23,55,26,6,0.66,12,452.380952380952,"D"
"Cakes Raisins","Sugary snacks",1768,19,56,28,5.8,0.65,13,420.952380952381,"D"
"Cakes aux Fruits","Sugary snacks",1670,15,60,34,4.9,0.6,12,397.619047619048,"D"
"Financiers aux Amandes","Sugary snacks",1868,23,51,39,8,0.55,22,444.761904761905,"E"
"Fondants Citron","Sugary snacks",1896,24,50,37,8.1,0.78,22,451.428571428571,"E"
"30 Panach' Fruits","Sugary snacks",1724,18,57,31,5,0.63,13,410.47619047619,"D"
"All Buter Belgian White Chocolate Chunk Cookies","Sugary snacks",2172,29.1,58.4,33.5,5.5,1,26,517.142857142857,"E"
"Stem Ginger Dunkers","Sugary snacks",1981,20.8,63.6,31.8,6.1,0.570000000000001,20,471.666666666667,"E"
"Bijou Caramel ChocoLait","Sugary snacks",1807,20,57,37,5.3,0.7,19,430.238095238095,"E"
"Pur Soup' Velouté de légumes","Fruits and vegetables",188,2.1,5.3,2.4,0.8,0.75,2,44.7619047619048,"B"
"grilled Cajun chicken breast, spicy wedges & sour cream","Composite foods",354,1.6,7.8,2.7,8.9,0.25,-4,84.2857142857143,"A"
"Mild Cheddar with Onions & Chives","Milk and dairy products",1618,32.9,1.4,0.4,21.7,1.53,14,385.238095238095,"D"
"Pulled Pork & Chorizo Feijoada","Composite foods",622,4.4,16,0.5,10,0.63,-4,148.095238095238,"A"
"Nutella","Sugary snacks",2260,32.4,56.8,56.8,5.41,0.103,23,538.095238095238,"E"
"Wrap Poulet à la Jamaïcaine","Composite foods",811,5.3,25.1,1.3,10,0.6,-3,193.095238095238,"A"
"Tabasco Green Pepper Sauce","Fat and sauces",46,0,1.8,0,0.6,7.4,9,10.952380952381,"C"
"Canadian Dressed Lobster","Composite foods",640,9.7,2.5,0.7,13.8,1.03,3,152.380952380952,"C"
"Mini Crêpes ChocoLait","Sugary snacks",2018,18,72,48,6.7,0.2,24,480.47619047619,"E"
"Ginger candy","Sugary snacks",1632,1.4,94.5,70.3,0,0,14,388.571428571429,"D"
"Reduced Fat Belgian Chocolate Chunk Cookies","Sugary snacks",1928,17.7,68.5,44.4,5.1,0.81,24,459.047619047619,"E"
"All Butter Reduced Fat Stem Ginger Cookies","Sugary snacks",1809,13.3,70.2,35.7,6.1,0.83,18,430.714285714286,"D"
"Sweet Potato, Parsnip and Beetroot Hand Cooked Vegetable Crisps","Salty snacks",2184,35.3,42.2,23.6,4.8,1,13,520,"D"
"Boisson au soja","Beverages",235.2,0.8,10.2,8.2,2,0.08636,8.36059300489711,56,"C"
"Chocolate Chunk Crispy Cookies - Dark Chocolate Pecan","Sugary snacks",2269,32.4,57.8,34,5.1,0.8001,21,540.238095238095,"E"
"Chocolate Chunk Dark Double Chocolate Crispy Cookies","Sugary snacks",2131,25.3,66.5,34.8,3.8,0.8,21,507.380952380952,"E"
"Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies","Sugary snacks",2230,30.4,60.1,32.6,4.9,0.699999999999999,21,530.952380952381,"E"
"Chocolate Chunk White Chocolate Macadamia Crispy Cookies","Sugary snacks",2238,31.3,58.7,30.4,5,0.8,20,532.857142857143,"E"
"Soft Baked Chocolate Chunk Dark Chocolat Brownie","Sugary snacks",1946,19.2,67.3,41.7,5.3,0.5,21,463.333333333333,"E"
"Oatmeal Raisin","Sugary snacks",1753,14.5,74.2,41.9,6.5,0.7366,16,417.380952380952,"D"
"Soft Baker chocolate chunk","Sugary snacks",1916,17.1,70.8,40.8,4.8,0.6,22,456.190476190476,"E"
"Goldfish Cheddar","Salty snacks",1958,18.1,64.2,1.4,11.6,1.9,13,466.190476190476,"D"
"Almonds Amandes grillées salées","Salty snacks",2549,52.1,10.3,4.9,21.1,0.8,14,606.904761904762,"D"
"Amandes Grillées Salées","Salty snacks",2577,52.1,10.3,4.9,21,0.8,14,613.571428571429,"D"
"Pistachios Salées","Salty snacks",2444,46,17.4,7.8,21.4,1.3,18,581.904761904762,"D"
"Pistachios","Fruits and vegetables",2469,46,27.7,7.8,21.4,1.3,8,587.857142857143,"C"
"Pistaches grillées sans sel Wonderful","Salty snacks",2469,46,17.4,7.8,21.4,0,3,587.857142857143,"C"
"Pistachios salt & pepper","Salty snacks",2444,46,17.4,7.8,21.4,2.5,23,581.904761904762,"E"
"Pistaches au piment doux","Salty snacks",2390,45.2,17.3,10.3,20,2.4003,24,569.047619047619,"E"
"Pistaches XXL grillées salées","Salty snacks",2444,46,17.4,7.8,21.4,1.3,18,581.904761904762,"D"
"Pistaches XXL Poivre & Sel","Salty snacks",2444,46,17.4,7.8,21.4,2.5,23,581.904761904762,"E"
"Pistaches XXL Grillées sans sel","Salty snacks",2444,46,17.4,7.8,21.4,0,13,581.904761904762,"D"
"Walnuts","Salty snacks",2992,65.2,13.7,2.6,15.2,0.03,14,712.380952380952,"D"
"Lucky Charms","Cereals and potatoes",1700,3.7,81.5,37,7.41,1.6,14,404.761904761905,"D"
"Spinach & Ricotta Stonebaked Hand Stretched Pizza","Composite foods",905,6.9,29.2,5.4,8,0.83,2,215.47619047619,"B"
"Jackfruit in syrup","Fruits and vegetables",389,0,22.14,17.86,0.71,0.254,0,92.6190476190476,"B"
"Foco basil seed drink","Beverages",266,0,15.8,13.3,0,0.0231,18,63.3333333333333,"D"
"Lait de coco","Beverages",746,19,2,2,1.6,0.05,12,177.619047619048,"D"
"Coconut Juice","Beverages",142,0.29,8.29,6.29,0,0.09398,0,33.8095238095238,"B"
"Lychee drink","Beverages",187,0,11,11,0,0.06,15,44.5238095238095,"D"
"coconut juice","Beverages",140,0.208,8.33,6.25,0,0.0953,0,33.3333333333333,"B"
"Roasted Coconut Juice","Beverages",172,0.5,9.2,8.9,0.5,0.12,2,40.9523809523809,"B"
"Soursop Juice","Beverages",184,0,12.57,11,0,0.07874,15,43.8095238095238,"D"
"Soupe Tom Yum aux légumes","Fruits and vegetables",307,5.33,5,3.33,1.33,0.627,1,73.0952380952381,"B"
"Brins de ChocoCaramel","Sugary snacks",1960,16,75,50,5,0.28,24,466.666666666667,"E"
